id,filename,glyph_url,dominant_hex,dominant_rgb,dominant_lab,secondary_hex,secondary_rgb,secondary_lab,palette_contrast,edge_density,entropy,texture,contrast,circularity,aspect_ratio,edge_angle,color_harmony,mood,created_date,created_time
73954127,393746_cec7f7_73954127.png,https://cdn.jsdelivr.net/gh/dduyg/woman43@main/glyphs/393746_cec7f7_73954127.png,393746,"[57, 55, 70]","[23.82, 4.56, -8.93]",cec7f7,"[206, 199, 247]","[82.21, 11.86, -22.72]",0.6044,0.0507,13.7896,2.8615,1.0,0.2192,0.5103,17.3255,analogous,mysterious,2025-12-27,21:44:12
4764a8b2,456e72_254647_4764a8b2.png,https://cdn.jsdelivr.net/gh/dduyg/woman43@main/glyphs/456e72_254647_4764a8b2.png,456e72,"[69, 110, 114]","[43.7, -13.17, -6.77]",254647,"[37, 70, 71]","[27.38, -11.75, -4.39]",0.1656,0.009,15.3535,2.7579,0.864,0.8164,1.2641,37.0928,analogous,serene,2025-12-27,21:44:13
a6f51e06,053217_0f4729_a6f51e06.png,https://cdn.jsdelivr.net/gh/dduyg/woman43@main/glyphs/053217_0f4729_a6f51e06.png,053217,"[5, 50, 23]","[17.35, -22.41, 13.01]",0f4729,"[15, 71, 41]","[26.06, -25.96, 13.02]",0.0942,0.0147,13.8442,2.774,0.8754,0.5217,0.7861,3.3665,analogous,dramatic,2025-12-27,21:44:15
6f9d7df6,1a127b_5229b3_6f9d7df6.png,https://cdn.jsdelivr.net/gh/dduyg/woman43@main/glyphs/1a127b_5229b3_6f9d7df6.png,1a127b,"[26, 18, 123]","[15.91, 39.46, -56.58]",5229b3,"[82, 41, 179]","[30.96, 51.24, -66.08]",0.2134,0.0678,16.9235,2.12,0.9468,0.2189,0.9468,1.0051,analogous,energetic,2025-12-27,21:44:15
a7053e0a,d0dddb_abbbb7_a7053e0a.png,https://cdn.jsdelivr.net/gh/dduyg/woman43@main/glyphs/d0dddb_abbbb7_a7053e0a.png,d0dddb,"[208, 221, 219]","[87.11, -4.72, -0.53]",abbbb7,"[171, 187, 183]","[74.58, -6.27, 0.13]",0.1264,0.0052,12.6522,2.7143,0.2722,0.2072,0.8141,1.3639,analogous,playful,2025-12-27,21:44:16
bb523b42,875d94_b573a5_bb523b42.png,https://cdn.jsdelivr.net/gh/dduyg/woman43@main/glyphs/875d94_b573a5_bb523b42.png,875d94,"[135, 93, 148]","[45.8, 27.28, -23.48]",b573a5,"[181, 115, 165]","[56.88, 33.61, -16.01]",0.1479,0.082,15.6199,2.5616,1.0,0.1805,0.4975,1.0912,analogous,dramatic,2025-12-27,21:44:16
b05419a4,6c1214_4d0a0a_b05419a4.png,https://cdn.jsdelivr.net/gh/dduyg/woman43@main/glyphs/6c1214_4d0a0a_b05419a4.png,6c1214,"[108, 18, 20]","[22.55, 38.57, 24.22]",4d0a0a,"[77, 10, 10]","[14.49, 30.41, 18.3]",0.1291,0.0117,14.7841,2.7743,0.9127,0.7801,0.7833,4.6355,none,energetic,2025-12-27,21:44:17
2e4f9496,262c42_7699d5_2e4f9496.png,https://cdn.jsdelivr.net/gh/dduyg/woman43@main/glyphs/262c42_7699d5_2e4f9496.png,262c42,"[38, 44, 66]","[18.39, 3.99, -14.7]",7699d5,"[118, 153, 213]","[62.88, 3.72, -34.45]",0.4867,0.0243,16.8762,2.4356,1.0,0.7752,0.6336,2.8689,analogous,mysterious,2025-12-27,21:44:17
ed777b23,e881de_e0c1e5_ed777b23.png,https://cdn.jsdelivr.net/gh/dduyg/woman43@main/glyphs/e881de_e0c1e5_ed777b23.png,e881de,"[232, 129, 222]","[68.12, 52.35, -30.5]",e0c1e5,"[224, 193, 229]","[81.64, 17.26, -13.81]",0.4114,0.0427,17.1311,2.3976,0.9543,0.5412,1.1644,8.3257,analogous,dramatic,2025-12-27,21:44:17
b4bba5af,edc1dc_c87fb5_b4bba5af.png,https://cdn.jsdelivr.net/gh/dduyg/woman43@main/glyphs/edc1dc_c87fb5_b4bba5af.png,edc1dc,"[237, 193, 220]","[82.55, 20.03, -7.52]",c87fb5,"[200, 127, 181]","[62.33, 36.27, -16.7]",0.275,0.0448,16.653,2.5404,1.0,0.1348,1.1243,6.0725,analogous,playful,2025-12-27,21:44:18
